,whatever_youd_like,content,1,company,commerce,government,year,also,years,group,retailer,still,based,told,pay,reported,part,firm,recently,four,following,jobs,amazon,said,walmart,percent,new,stores,sales,index,online,pandas,_2,u,would,business,market,last,one,target,billion,store,first,like,companies,according,gt,per,retail,inc,could,customers,retailers,time,shares,amp,e,two,million,people,2,growth,products,day,price,com,cent,share,deal,div,delivery,prime,quarter,service,health,stock,p,says,may,shoppers,buy,5,make,brands,grocery,many,including,3,even,much,since,big,analyst,whole,0,services,get,industry,re,chief,home,data,foods,4,technology,already,toys,items,well,chain,tax,investors,shopping,month,consumer,cnbc,food,earnings,announced,high,analysts,executive,10,week,ceo,world,employees,r,2017,best,take,care,long,thursday,going,bloomberg,7,giant,plans,prices,revenue,three,next,consumers,back,move,alexa,child,made,co,report,biggest,use,president,way,6,see,go,less,workers,holiday,past,china,around,google,months,largest,recent,end,another,trump,sell,bezos,brand,goods,mr,want,tuesday,selling,better,second,2018,higher,m,costs,help,third,top,digital,walgreens,financial,earlier,monday,across,kroger,wednesday,tech,making,customer,work,value,markets,expected,start,money,product,private,number,20,street,think,8,added,between,members,free,officer,ago,9,12,need,cloud,apple,news,increase,against,capital,growing,likely,2016,called,15,businesses,locations,friday,investment,research,cost,space,offer,results,far,statement,among,become,0,lower,spending,york,come,season
0,0,0,0.001386963,0,0,0,0.000867303,0.00095057,0.001508296,0.001297017,0.001587302,0,0,0,0.003521127,0,0,0.003690037,0,0.016666667,0,0,0.007438017,0.0015625,0.004862237,0.004360465,0.00101833,0,0,0.009174312,0.004273504,0,0,0,0,0,0,0.002259887,0.001137656,0.003100775,0.001579779,0,0.001108647,0.00140647,0.003267974,0.006345178,0,0,0.0016,0,0,0.005119454,0.016427105,0.001488095,0,0,0,0,0.002169197,0,0,0,0,0.011904762,0.002155172,0,0,0.004132231,0.002673797,0,0.003030303,0.04137931,0,0,0,0,0,0,0,0.01055409,0.002325581,0,0,0.003278689,0,0,0.001858736,0,0.002066116,0,0.003992016,0.002277904,0.002531646,0,0,0,0.002277904,0,0,0,0.002849003,0,0,0,0,0,0,0.003076923,0.002222222,0,0.005952381,0,0.011661808,0,0.005934718,0,0,0,0,0.002469136,0,0,0.002369668,0.00486618,0,0,0,0,0,0.003076923,0.007317073,0,0,0,0,0.003921569,0,0,0,0.007518797,0,0.008287293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002873563,0,0.009302326,0,0,0.002985075,0.005847953,0.003030303,0.003039514,0,0,0,0,0,0,0.004219409,0,0,0.003278689,0,0,0,0,0.003472222,0,0,0,0,0,0.006289308,0.007782101,0,0,0,0.003731343,0,0,0,0,0,0,0,0,0.003891051,0.003267974,0,0,0,0,0.003225806,0,0,0,0,0,0.003389831,0.01369863,0.008298755,0,0,0,0,0,0,0,0,0.007936508,0,0,0.003496503,0,0,0,0,0,0,0.009852217,0,0.008196721,0,0,0,0,0,0,0,0,0,0.004444444,0.004761905,0,0,0.010204082
1,1,0.017699115,0,0,0,0,0.001734605,0.002851711,0.001508296,0,0.001587302,0,0,0,0,0.002793296,0,0,0.003773585,0,0.005347594,0,0.000826446,0.00078125,0,0.001453488,0.00101833,0.004444444,0.004225352,0,0.001424501,0,0,0,0.002688172,0.001317523,0.001321004,0.003389831,0,0,0.004739336,0.001838235,0.001108647,0,0.001633987,0.001269036,0,0,0.0064,0,0.00312989,0,0,0,0.003696858,0,0,0.0032,0.002169197,0.004,0,0,0.00212766,0,0.002155172,0,0,0.002066116,0.024064171,0,0,0,0,0,0.015306122,0,0,0,0.002040816,0.002638522,0,0,0,0,0.003448276,0.004140787,0.001858736,0,0,0,0.001996008,0,0,0,0,0,0,0.00248139,0,0.004385965,0,0,0,0,0,0.004618938,0,0,0,0.005464481,0,0,0,0.002415459,0,0.00286533,0,0,0.006896552,0,0,0.00511509,0,0.00243309,0.005333333,0,0,0,0,0.003076923,0,0.01183432,0,0,0,0,0,0.004597701,0.002739726,0,0,0,0,0,0,0,0,0,0.005540166,0,0,0,0,0,0.002923977,0,0,0,0.002873563,0,0,0,0,0.002985075,0,0,0,0,0.003003003,0,0,0.00660066,0,0,0,0,0,0,0.003278689,0,0,0,0,0,0,0,0,0,0,0.176470588,0.003937008,0.00310559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003225806,0,0.007220217,0,0,0,0.003389831,0.00456621,0,0,0.003558719,0,0,0,0,0,0.003571429,0,0,0,0,0.003861004,0,0,0,0,0,0,0,0,0.004237288,0,0.003831418,0,0,0,0,0,0,0.008888889,0,0,0,0
2,0,0,0,0.001616815,0,0,0.001734605,0.001901141,0,0,0.001587302,0,0,0.002688172,0.003521127,0,0.002777778,0,0,0,0,0,0.000826446,0.0015625,0.01458671,0,0,0.001481481,0.001408451,0,0.004273504,0,0,0,0,0.002635046,0,0.001129944,0.001137656,0.001550388,0,0,0,0,0,0.002538071,0,0,0,0,0.001564945,0,0,0,0.001848429,0,0,0,0.004338395,0,0.001779359,0.004338395,0.004255319,0.002380952,0,0,0,0,0,0,0.003030303,0,0.002525253,0,0,0,0,0,0,0,0.002325581,0,0,0,0,0,0,0,0,0.002040816,0,0,0,0,0,0,0,0,0,0.004385965,0,0,0,0,0,0,0,0.009230769,0.002222222,0,0,0,0,0,0,0,0,0,0,0,0,0.00511509,0,0,0,0,0,0,0.002747253,0.003076923,0,0,0,0.002906977,0,0,0.00255102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002898551,0,0.002985075,0,0,0,0,0,0,0,0.00330033,0,0,0,0,0,0,0,0,0,0,0.003546099,0,0,0,0,0,0.003891051,0,0,0,0,0,0,0,0,0,0.007272727,0,0,0,0,0,0,0.004065041,0,0.003225806,0,0,0,0,0,0,0,0.004149378,0.003289474,0,0,0,0,0,0,0,0,0.003787879,0,0,0,0.003636364,0,0.003802281,0,0,0,0,0,0,0,0,0.004385965,0,0,0,0,0,0.004444444,0,0,0,0
3,1,0,0,0.000808407,0,0,0.001734605,0,0,0,0.004761905,0.002061856,0,0.002688172,0,0,0,0,0,0,0,0,0.000826446,0,0.003241491,0.005813953,0.00101833,0.001481481,0.005633803,0,0.001424501,0,0,0,0,0.002635046,0,0.003389831,0,0,0,0.001838235,0,0,0.001633987,0,0,0.005347594,0.0016,0,0.001564945,0,0.002053388,0,0.001848429,0,0,0,0,0.002,0,0,0,0,0,0,0,0.006198347,0.005347594,0,0,0,0,0,0,0.002227171,0,0,0,0,0,0,0.004123711,0,0,0.002070393,0.001858736,0.002227171,0,0,0,0,0,0,0,0,0,0,0,0.004385965,0,0,0,0,0,0,0,0,0,0,0,0,0.002915452,0,0.002967359,0.005730659,0,0,0.002298851,0,0,0,0,0,0,0,0,0,0.002747253,0,0.002439024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002695418,0.002688172,0,0,0,0,0,0,0,0,0.002923977,0.003115265,0,0,0,0.01744186,0.013953488,0,0,0,0,0,0,0,0,0,0,0.00330033,0,0,0,0,0,0,0.003278689,0,0,0,0,0,0,0,0,0,0.003891051,0,0,0.00310559,0.01119403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004672897,0.003225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003571429,0,0,0,0,0,0,0.007142857,0,0,0.004761905,0.004926108,0,0,0,0,0,0,0,0,0,0,0,0,0.004761905,0,0,0
4,1,0,0,0,0,0,0,0.00095057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00234375,0,0.005813953,0.00101833,0,0.002816901,0,0,0,0,0,0,0,0,0,0,0,0,0.001838235,0,0,0,0.001269036,0,0,0,0,0,0.001706485,0,0,0.001848429,0,0,0,0,0,0,0,0,0.002380952,0,0,0,0.004132231,0,0,0,0,0.002525253,0,0,0.002227171,0,0,0.006122449,0,0,0,0,0,0,0.004140787,0,0,0,0.004081633,0.001996008,0,0.005063291,0,0,0.002645503,0,0,0,0.002192982,0.005698006,0,0,0,0,0,0,0,0,0,0,0.002994012,0.002915452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002906977,0,0,0,0,0,0,0,0,0,0.003184713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002873563,0,0.004651163,0,0,0,0,0,0.003039514,0,0,0,0,0,0,0,0,0,0,0,0,0.003344482,0,0,0.003546099,0,0,0,0,0,0,0,0.003937008,0,0,0,0,0,0,0,0,0,0.003571429,0,0,0,0,0,0,0,0.003436426,0,0,0,0,0,0,0,0.003289474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952381,0,0.003676471,0
5,0,0,0,0,0,0,0,0.001901141,0,0,0.001587302,0,0,0,0,0.002793296,0,0,0,0,0,0,0,0,0.004862237,0,0,0.002962963,0,0,0,0,0,0,0,0,0,0,0.001137656,0.001550388,0,0,0.001108647,0.00281294,0,0.001269036,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006382979,0,0,0,0,0,0,0,0,0,0,0.002364066,0,0,0,0,0.002040816,0.002638522,0,0,0,0.006557377,0,0,0,0,0,0,0.001996008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002915452,0,0,0,0,0,0,0.002469136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002298851,0.002739726,0.003759398,0,0,0,0,0,0,0,0,0,0,0,0.002849003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003003003,0,0,0.00330033,0,0,0.004016064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004065041,0,0,0,0,0,0,0,0.003389831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003831418,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0.002851711,0,0.002594034,0,0,0,0,0,0,0,0.003690037,0,0,0,0,0.011570248,0.00703125,0.001620746,0.004360465,0.00305499,0.001481481,0,0,0.001424501,0,0,0,0.005376344,0,0,0.001129944,0.003412969,0,0.001579779,0,0,0,0,0.002538071,0,0,0,0,0.004694836,0.008532423,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0.003448276,0,0.004728132,0.005102041,0,0,0,0,0.005277045,0.002325581,0,0.002061856,0,0,0.004140787,0.001858736,0,0.008264463,0.002040816,0.001996008,0.002277904,0,0,0,0.013227513,0,0,0,0.002192982,0,0,0,0,0,0.002309469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002469136,0,0.002557545,0,0,0,0,0,0,0,0,0.002439024,0,0.005249344,0,0.00280112,0,0,0.002298851,0,0,0.003344482,0,0,0.012738854,0,0.002688172,0,0,0.002770083,0,0,0.002849003,0.006269592,0,0.005847953,0,0,0.003424658,0.002873563,0,0,0,0,0,0,0,0,0,0.006006006,0.00297619,0,0,0,0.004219409,0,0,0.009836066,0,0,0.006688963,0,0,0,0,0,0,0,0.003144654,0.003891051,0,0.015748031,0,0,0,0,0,0,0.003205128,0,0,0,0,0,0.006872852,0.004149378,0.012195122,0,0,0,0,0,0,0,0.006779661,0,0.008298755,0.003289474,0,0,0,0,0,0,0,0.003968254,0,0.004484305,0,0,0.003636364,0.007142857,0,0,0,0,0,0,0,0,0.011494253,0,0,0,0.003690037,0,0,0,0.00952381,0,0.003676471,0
7,1,0,0,0,0,0,0.000867303,0.00095057,0,0,0,0,0,0,0.003521127,0,0.002777778,0,0,0,0,0,0.000826446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001129944,0,0.001550388,0,0.001838235,0,0,0,0,0,0,0.0016,0,0,0.003412969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002364066,0,0,0,0.003533569,0,0,0,0,0,0,0.010344828,0,0,0,0,0,0,0,0,0.003533569,0,0,0,0.00248139,0,0,0,0,0.003984064,0,0.002724796,0,0,0.003076923,0,0.00273224,0,0.002994012,0,0,0,0,0.004032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002439024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003134796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003039514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003311258,0.028985507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004201681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0.000808407,0,0,0.000867303,0,0,0,0.003174603,0.002061856,0,0,0,0,0,0,0,0,0.005347594,0,0,0.0015625,0,0.004360465,0.00305499,0.002962963,0.005633803,0,0.002849003,0,0,0,0,0,0,0.001129944,0,0,0,0.001838235,0,0,0,0.001269036,0,0,0,0,0,0,0,0,0.003696858,0,0,0,0,0,0,0.002169197,0.00212766,0,0,0,0,0,0,0,0,0,0,0,0.005102041,0,0,0,0,0,0,0,0,0,0,0,0.001858736,0,0,0.002040816,0,0,0,0,0,0,0,0,0,0.002192982,0.002849003,0,0,0,0,0,0,0.009230769,0,0.00273224,0,0.005988024,0,0,0,0,0,0,0,0,0.00295858,0.002557545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003184713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004016064,0,0,0,0.003278689,0,0,0,0,0,0,0,0,0,0.003891051,0,0,0,0,0,0,0.003717472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003289474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462963,0,0.004385965,0,0,0,0,0,0.004444444,0.00952381,0,0,0
9,1,0,0,0,0,0,0.000867303,0.00095057,0,0,0.001587302,0,0.004132231,0,0,0,0,0,0,0,0,0,0.004132231,0.00078125,0.001620746,0.001453488,0.00203666,0.002962963,0.002816901,0,0.007122507,0,0,0,0,0,0.002642008,0,0,0.001550388,0,0,0,0.00140647,0,0.001269036,0,0,0,0,0.001564945,0.001706485,0.004106776,0,0,0,0,0,0,0,0,0,0.004255319,0,0.002155172,0,0,0.004132231,0,0,0,0,0,0,0,0,0,0,0,0.01055409,0.004651163,0,0,0,0,0.002070393,0,0,0.004132231,0,0,0,0,0,0,0.002645503,0,0,0,0.002192982,0,0.005434783,0,0,0,0,0,0,0,0,0,0,0.002915452,0,0.005934718,0,0.004032258,0,0,0,0,0,0,0,0,0,0,0,0.002747253,0.003076923,0,0,0,0,0,0,0,0,0,0,0.006688963,0,0,0,0,0,0,0,0,0,0,0,0,0.003115265,0,0,0,0,0,0,0.009302326,0,0,0,0,0,0,0.002793296,0,0,0,0,0,0,0.008032129,0,0,0,0,0,0.003257329,0,0,0,0,0,0,0,0,0,0,0,0,0.003311258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003289474,0.003558719,0,0,0,0,0,0,0,0,0,0,0,0.007272727,0,0,0,0,0,0,0.008196721,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0.003676471,0.005102041
